"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"2","3.459219","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"3","9.863519","c2:01:78:a0:00:00","DEC-MOP-Remote-Console","0x6002","77","DEC DNA Remote Console"
"4","10.473389","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"5","13.836477","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"6","21.153023","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"7","22.664984","10.0.0.1","10.0.0.3","ICMP","114","Echo (ping) request  id=0x0000, seq=0/0, ttl=255 (reply in 8)"
"8","22.671849","10.0.0.3","10.0.0.1","ICMP","114","Echo (ping) reply    id=0x0000, seq=0/0, ttl=255 (request in 7)"
"9","22.675753","10.0.0.1","10.0.0.3","ICMP","114","Echo (ping) request  id=0x0000, seq=1/256, ttl=255 (reply in 10)"
"10","22.682552","10.0.0.3","10.0.0.1","ICMP","114","Echo (ping) reply    id=0x0000, seq=1/256, ttl=255 (request in 9)"
"11","22.686492","10.0.0.1","10.0.0.3","ICMP","114","Echo (ping) request  id=0x0000, seq=2/512, ttl=255 (reply in 12)"
"12","22.693320","10.0.0.3","10.0.0.1","ICMP","114","Echo (ping) reply    id=0x0000, seq=2/512, ttl=255 (request in 11)"
"13","22.697245","10.0.0.1","10.0.0.3","ICMP","114","Echo (ping) request  id=0x0000, seq=3/768, ttl=255 (reply in 14)"
"14","22.703432","10.0.0.3","10.0.0.1","ICMP","114","Echo (ping) reply    id=0x0000, seq=3/768, ttl=255 (request in 13)"
"15","22.708160","10.0.0.1","10.0.0.3","ICMP","114","Echo (ping) request  id=0x0000, seq=4/1024, ttl=255 (reply in 16)"
"16","22.713535","10.0.0.3","10.0.0.1","ICMP","114","Echo (ping) reply    id=0x0000, seq=4/1024, ttl=255 (request in 15)"
"17","23.487687","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"18","25.754691","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"19","31.428126","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"20","33.716700","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"21","37.579978","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
